                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42359,                 60.248,                0.29928,                      0,                      0,                      0,                      0,                0.36475,                 0.4695,                0.24249,              0.0033291,              0.0033291,              0.0033291
                      2,                0.92137,                 1.0578,                0.52961,                0.09104,                0.02737,                0.05265,                0.01556,                 3.2622,                 3.6599,                 1.1897,               0.006636,               0.006636,               0.006636
                      3,                 3.4711,                 3.4024,                 1.2886,                   0.25,                 0.0265,                 0.1356,                0.03891,                 2.9191,                 3.4794,                 1.0997,              0.0099166,              0.0099166,              0.0099166
                      4,                 3.2706,                 3.1723,                 1.1653,                0.33079,                0.20721,                0.14983,                0.03834,                 2.9992,                 2.5398,                 1.1201,              0.0098812,              0.0098812,              0.0098812
                      5,                 3.0464,                 2.6737,                 1.0992,                0.52458,                0.33504,                0.30593,                0.08978,                 2.7045,                 1.9678,                 1.0387,              0.0098416,              0.0098416,              0.0098416
                      6,                 2.9492,                 2.3567,                 1.0535,                0.59383,                0.34883,                0.36045,                 0.1212,                 2.5455,                 1.8705,                 1.0226,               0.009802,               0.009802,               0.009802
                      7,                 2.8415,                 2.2208,                 1.0322,                0.62785,                0.39791,                  0.388,                0.12144,                 2.5614,                 1.7746,                 1.0208,              0.0097624,              0.0097624,              0.0097624
                      8,                 2.7333,                 2.0313,                 1.0173,                0.64556,                0.40115,                0.41846,                0.13975,                 2.4463,                 1.6226,                 1.0014,              0.0097228,              0.0097228,              0.0097228
                      9,                 2.6671,                 1.9282,                 1.0108,                0.67549,                0.41746,                0.44073,                0.14544,                 2.4474,                  1.636,                0.99436,              0.0096832,              0.0096832,              0.0096832
                     10,                 2.6684,                 1.9972,                 1.0009,                0.64188,                0.39574,                0.42333,                0.14922,                 2.4216,                 1.7544,                0.99426,              0.0096436,              0.0096436,              0.0096436
                     11,                 2.6102,                 1.8781,                0.99934,                0.71561,                0.46129,                0.50179,                0.17285,                 2.3574,                 1.4983,                0.97948,               0.009604,               0.009604,               0.009604
                     12,                 2.5669,                 1.8413,                  0.994,                0.67219,                0.45074,                0.47529,                0.16146,                 2.3434,                 1.5035,                0.97271,              0.0095644,              0.0095644,              0.0095644
                     13,                 2.5348,                 1.7642,                 0.9852,                0.73745,                0.45917,                0.50786,                0.18228,                 2.2838,                  1.447,                0.97308,              0.0095248,              0.0095248,              0.0095248
                     14,                 2.5121,                 1.7035,                0.97582,                0.78112,                0.46568,                0.54303,                0.20465,                 2.2143,                 1.3919,                0.95871,              0.0094852,              0.0094852,              0.0094852
                     15,                 2.4785,                  1.667,                0.98476,                0.73712,                0.47046,                0.52554,                 0.1931,                 2.2449,                 1.4075,                0.96102,              0.0094456,              0.0094456,              0.0094456
                     16,                 2.4589,                 1.6332,                0.97995,                0.74369,                0.51303,                0.56408,                0.20483,                 2.1875,                 1.3253,                0.95351,               0.009406,               0.009406,               0.009406
                     17,                 2.4388,                  1.686,                0.98331,                0.78456,                0.52824,                 0.5855,                0.21462,                 2.2224,                  1.289,                0.96147,              0.0093664,              0.0093664,              0.0093664
                     18,                 2.4021,                 1.5433,                0.96464,                0.75628,                 0.5473,                0.59947,                 0.2234,                 2.1447,                 1.2945,                 0.9507,              0.0093268,              0.0093268,              0.0093268
                     19,                 2.4138,                 1.6059,                0.97451,                0.74628,                0.51911,                  0.567,                0.21679,                 2.1416,                 1.2668,                 0.9475,              0.0092872,              0.0092872,              0.0092872
                     20,                 2.3812,                 1.6124,                0.98227,                0.76785,                0.51694,                0.58008,                0.22103,                 2.1466,                  1.248,                0.94546,              0.0092476,              0.0092476,              0.0092476
                     21,                 2.3695,                 1.5363,                0.96937,                0.72907,                0.55058,                0.59639,                0.22692,                 2.0999,                 1.2418,                0.94534,               0.009208,               0.009208,               0.009208
                     22,                 2.3602,                 1.5433,                0.94702,                0.79082,                0.52389,                0.58607,                0.22147,                 2.1382,                 1.2933,                0.94833,              0.0091684,              0.0091684,              0.0091684
                     23,                 2.3348,                 1.4785,                0.95595,                0.73882,                0.49305,                 0.5434,                0.20024,                 2.2058,                 1.2875,                0.95899,              0.0091288,              0.0091288,              0.0091288
                     24,                 2.3182,                 1.4966,                0.95956,                0.79428,                0.54648,                0.61708,                0.24217,                 2.0377,                 1.2011,                0.93532,              0.0090892,              0.0090892,              0.0090892
                     25,                 2.3174,                  1.468,                0.94881,                0.76729,                 0.5669,                0.62338,                0.24112,                 2.0983,                 1.2431,                0.94445,              0.0090496,              0.0090496,              0.0090496
                     26,                  2.266,                 1.4497,                0.95335,                0.77377,                0.58558,                0.64613,                0.25374,                 1.9992,                 1.1722,                0.93213,                0.00901,                0.00901,                0.00901
                     27,                 2.2603,                  1.371,                0.93421,                0.78297,                0.56212,                0.62312,                0.24681,                 2.0494,                 1.1511,                0.96077,              0.0089704,              0.0089704,              0.0089704
                     28,                 2.2893,                 1.4121,                0.93916,                0.74307,                0.58297,                0.63038,                0.25274,                 2.0311,                 1.1391,                0.92986,              0.0089308,              0.0089308,              0.0089308
                     29,                 2.2646,                 1.3969,                0.95183,                0.79563,                0.56473,                0.62638,                0.24906,                 1.9909,                 1.1628,                0.92783,              0.0088912,              0.0088912,              0.0088912
                     30,                  2.244,                 1.4168,                0.94824,                0.78396,                0.56255,                 0.6453,                0.25771,                 2.0206,                 1.1422,                0.93016,              0.0088516,              0.0088516,              0.0088516
                     31,                 2.2387,                  1.361,                0.94864,                0.77793,                0.58588,                0.65414,                0.26113,                 1.9787,                 1.1046,                0.93071,               0.008812,               0.008812,               0.008812
                     32,                    2.2,                 1.3232,                0.93253,                0.79402,                0.56516,                 0.6383,                 0.2574,                 1.9782,                 1.1495,                0.93091,              0.0087724,              0.0087724,              0.0087724
                     33,                 2.2124,                 1.3032,                0.92655,                0.81018,                0.57847,                0.65751,                0.26214,                 1.9742,                 1.1136,                0.92328,              0.0087328,              0.0087328,              0.0087328
                     34,                 2.1838,                 1.3217,                0.93398,                0.78976,                0.60773,                0.67646,                0.27038,                 1.9706,                 1.0562,                 0.9261,              0.0086932,              0.0086932,              0.0086932
                     35,                 2.2202,                 1.3461,                0.94397,                0.80996,                0.59987,                0.67575,                0.27459,                 1.9589,                 1.0421,                0.92166,              0.0086536,              0.0086536,              0.0086536
                     36,                 2.1652,                 1.2927,                0.93238,                0.79308,                0.61816,                0.67905,                0.27593,                 1.9354,                 1.0479,                0.92309,               0.008614,               0.008614,               0.008614
                     37,                 2.1883,                 1.2902,                0.92414,                0.80616,                0.61244,                0.68339,                0.27775,                 1.9825,                 1.0433,                0.92171,              0.0085744,              0.0085744,              0.0085744
                     38,                 2.1728,                 1.2431,                0.93584,                0.80421,                0.62033,                0.68013,                0.27107,                 1.9685,                 1.0229,                0.92133,              0.0085348,              0.0085348,              0.0085348
                     39,                 2.1523,                 1.2468,                0.92954,                0.79913,                0.59644,                0.67832,                0.26684,                 1.9984,                 1.0534,                0.93299,              0.0084952,              0.0084952,              0.0084952
                     40,                 2.1395,                 1.2398,                0.92992,                0.80134,                0.62772,                 0.6929,                0.28015,                  1.926,                0.99129,                0.91947,              0.0084556,              0.0084556,              0.0084556
                     41,                 2.1669,                  1.245,                0.92941,                0.81204,                0.61369,                0.68541,                0.28385,                  1.895,                 1.0387,                0.91037,               0.008416,               0.008416,               0.008416
                     42,                 2.1196,                  1.215,                0.92086,                0.81346,                0.61512,                0.68742,                0.28326,                 1.9254,                  1.002,                0.92172,              0.0083764,              0.0083764,              0.0083764
