                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5172,                 4.5394,                0.96007,                 0.6029,                0.40617,                0.38976,                0.14176,                 2.2794,                 2.5369,                0.95899,             0.00066581,             0.00066581,             0.00066581
                      2,                 2.5618,                 2.0477,                0.99249,                0.64121,                0.41529,                0.43747,                0.14255,                  2.412,                 1.7384,                0.98952,              0.0013061,              0.0013061,              0.0013061
                      3,                 2.4855,                 1.9007,                0.97063,                0.72934,                0.47567,                0.51445,                0.17745,                 2.2264,                  1.447,                0.95665,                0.00192,                0.00192,                0.00192
                      4,                 2.4454,                 1.8085,                0.96331,                0.72452,                0.44831,                0.50597,                0.18688,                 2.2175,                 1.4169,                0.94104,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.4038,                 1.6683,                 0.9705,                0.73392,                 0.4987,                0.55897,                0.20299,                 2.1914,                 1.3375,                0.94032,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.3579,                 1.5418,                0.94369,                0.80099,                0.55775,                0.62902,                0.24694,                 2.0593,                 1.1688,                0.93207,               0.001802,               0.001802,               0.001802
                      7,                 2.2899,                 1.5273,                0.93453,                0.78433,                0.53953,                0.61431,                 0.2427,                 2.0719,                 1.2164,                0.92662,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.2416,                 1.3991,                0.93016,                0.78054,                0.55039,                0.63131,                0.24718,                 2.0658,                 1.1416,                0.93079,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.2092,                 1.3366,                0.92099,                 0.8083,                0.57124,                0.64825,                0.25412,                 2.0489,                 1.1549,                0.92485,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.2367,                 1.4228,                0.92356,                0.77729,                0.51477,                0.61411,                0.23361,                 2.0889,                 1.1781,                0.92929,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.1922,                 1.3444,                0.91964,                0.76836,                0.58645,                0.66792,                0.26252,                 1.9996,                 1.0542,                0.92306,               0.001604,               0.001604,               0.001604
                     12,                 2.1585,                 1.3092,                0.91933,                0.77977,                0.62815,                0.68405,                0.27088,                 1.9311,                 1.0431,                0.91199,              0.0015644,              0.0015644,              0.0015644
